name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Where Do We Go,Wiljan,Where Do We Go,epsilon,2022,1.0,1.0,1.0,labeled
This Isn't You,Kyle Dixon & Michael Stein,"Stranger Things, Vol. 1 (A Netflix Original Series Soundtrack)",epsilon,2022,1.0,1.0,1.0,labeled
"Adieu, Pt. II",Tchami,Revelations EP,epsilon,2022,1.0,1.0,1.0,labeled
Rainy Nights,Azaleh,Rainy Nights,epsilon,2022,1.0,1.0,1.0,labeled
Strippers,Wizard,Steady Stackin,epsilon,2022,1.0,1.0,1.0,labeled
The Return,Philter,The Campfire Tales,epsilon,2022,1.0,1.0,1.0,labeled
Sirop,Sara Costa,Sirop,epsilon,2022,1.0,1.0,1.0,labeled
Òra,Isolated,Òra,epsilon,2022,1.0,1.0,1.0,labeled
OdeToYou,Flitz&Suppe,OdeToYou,epsilon,2022,1.0,1.0,1.0,labeled
Business Class,Sinitus Tempo,29,epsilon,2022,1.0,1.0,1.0,labeled
Abrasive,Milton Breech,Abrasive,epsilon,2022,1.0,1.0,1.0,labeled
Date 5: Vanessa,Smoke Trees,Best of Tinder-Dates,epsilon,2022,1.0,1.0,1.0,labeled
Drown - Original Mix,Enzalla,Drown,epsilon,2022,1.0,1.0,1.0,labeled
Children,LISTENBEE,Children,epsilon,2022,1.0,1.0,1.0,labeled
Gymnopaedia,moow,I Can't Tell You How Much It Hurts,epsilon,2022,1.0,1.0,1.0,labeled
khutso,Fujitsu,khutso,epsilon,2022,1.0,1.0,1.0,labeled
Icarus (Automatic Mix),Nigel Stanford,Automatica,epsilon,2022,1.0,1.0,1.0,labeled
I Wish I Could Sleep,Various Artists,Chillhop Essentials Winter 2016,epsilon,2022,1.0,1.0,1.0,labeled
Coreless,Murphy Cooper,Coreless,epsilon,2022,1.0,1.0,1.0,labeled
H2o,Kareful,H2o,epsilon,2022,1.0,1.0,1.0,labeled
Drive,TWO LANES,Drive,epsilon,2022,1.0,1.0,1.0,labeled
Don't Let Go,Klimeks,Love Dream Infinite,epsilon,2022,1.0,1.0,1.0,labeled
Cymatics (Automatic Mix),Nigel Stanford,Automatica,epsilon,2022,1.0,1.0,1.0,labeled
Everything Changed,Nigel Stanford,Automatica,epsilon,2022,1.0,1.0,1.0,labeled
contact,Knowmadic,contact,epsilon,2022,1.0,1.0,1.0,labeled
Despair,BROCKBEATS,Salt,epsilon,2022,1.0,1.0,1.0,labeled
Butterflies,Rameses B,Butterflies,epsilon,2022,1.0,1.0,1.0,labeled
Corporate Japan,Birocratic,Beets 4,epsilon,2022,1.0,1.0,1.0,labeled
Mehr als ein Job,Kontra K,Gute Nacht,epsilon,2022,1.0,1.0,1.0,labeled
