name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Goodnight Moon,Boogie Belgique,Volta,alpha,2023,1.0,1.0,1.0,labeled
No Strings Attached,Swingrowers,No Strings Attached,alpha,2023,1.0,1.0,1.0,labeled
Back in Town,L'Entourloop,Chickens in Your Town,alpha,2023,1.0,1.0,1.0,labeled
Miracle,Caravan Palace,Chronologic,alpha,2023,1.0,1.0,1.0,labeled
"Danse macabre in G Minor, Op. 40",Camille Saint-Saëns,Saint-Saens: Symphony No. 3 / Piano Concerto No. 2,alpha,2023,1.0,1.0,1.0,labeled
Jungle,Tash Sultana,Notion,alpha,2023,1.0,1.0,1.0,labeled
The Arrival,Smokey Joe & The Kid,The Grand EP,alpha,2023,1.0,1.0,1.0,labeled
Whatchugot (Pisk Remix),Caro Emerald,Whatchugot (Pisk Remix),alpha,2023,1.0,1.0,1.0,labeled
"Piano Trio No. 2 in E-Flat Major, Op. 100 D. 929: II. Andante con moto",Franz Schubert,"Schubert: Piano trios, Op. 99 & 100",alpha,2023,1.0,1.0,1.0,labeled
Southern Man,Akshin Alizadeh,Street Bangerz Volume 8,alpha,2023,1.0,1.0,1.0,labeled
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Pyotr Ilyich Tchaikovsky,Tchaikovsky: Swan Lake,alpha,2023,1.0,1.0,1.0,labeled
Never Lose,Deluxe,Polishing Peanuts EP,alpha,2023,1.0,1.0,1.0,labeled
"Für Elise, WoO 59",Various Artists,Piano relaxant : Le meilleur du piano classique,alpha,2023,1.0,1.0,1.0,labeled
Booty Swing,Parov Stelar,"The Princess, Pt. Two",alpha,2023,1.0,1.0,1.0,labeled
"Toccata & Fugue in D Minor, BWV 565 (Transcribed for Piano) - Remastered",Johann Sebastian Bach,Sándor Plays Bach (Remastered),alpha,2023,1.0,1.0,1.0,labeled
Empires,The Electric Swing Circus,Empires,alpha,2023,1.0,1.0,1.0,labeled
Wait a Minute,Deluxe,Stachelight,alpha,2023,1.0,1.0,1.0,labeled
Minnie the Moocher,Pisk,Minnie the Moocher,alpha,2023,1.0,1.0,1.0,labeled
"Sarabande (From ""Barry Lyndon"")",Various Artists,100 Greatest Film Themes,alpha,2023,1.0,1.0,1.0,labeled
Between the Buttons,French 79,Angel,alpha,2023,1.0,1.0,1.0,labeled
O Fortuna,Various Artists,"Halloween Classics: The Evil, The Demented, And The Just Plain Weird",alpha,2023,1.0,1.0,1.0,labeled
Gogo,Mr. Jazzek,Gogo,alpha,2023,1.0,1.0,1.0,labeled
Luci´s Game,Varrick Frost,Luci´s Game,alpha,2023,1.0,1.0,1.0,labeled
Mais Non - 1920 Version,Klischée,Mais Non (1920 Version),alpha,2023,1.0,1.0,1.0,labeled
Please Come Home - That's a Pretty Good Love,Smokey Joe & The Kid,Please Come Home (That's a Pretty Good Love),alpha,2023,1.0,1.0,1.0,labeled
FatMan,Jesse Rose,FatMan,alpha,2023,1.0,1.0,1.0,labeled
Youth,Daughter,If You Leave,alpha,2023,1.0,1.0,1.0,labeled
Smile,Nat King Cole,The Nat King Cole Story,alpha,2023,1.0,1.0,1.0,labeled
Mama Talking,Parov Stelar,The Burning Spider,alpha,2023,1.0,1.0,1.0,labeled
"Piano Sonata No. 4 in E-Flat Major, K. 282- I. Adagio",Wolfgang Amadeus Mozart,Mozart: Piano Works Vol. 1,alpha,2023,1.0,1.0,1.0,labeled
Yeah Yeah Yeah,Kognitif,Soul Food,alpha,2023,1.0,1.0,1.0,labeled
"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",Sergei Prokofiev,Prokofiev: Romeo and Juliet,alpha,2023,1.0,1.0,1.0,labeled
"Piano Sonata No. 4 in E-Flat Major, K. 282- III. Allegro",Wolfgang Amadeus Mozart,Mozart: Piano Works Vol. 1,alpha,2023,1.0,1.0,1.0,labeled
The Man with the Red Face,MEUTE,Tumult,alpha,2023,1.0,1.0,1.0,labeled
"An der schönen blauen Donau, Op. 314",Johann Strauss II,"Strauss, J.: An der schönen blauen Donau (The Blue Danube)",alpha,2023,1.0,1.0,1.0,labeled
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)",Johannes Brahms,Brahms: 21 Hungarian Dances,alpha,2023,1.0,1.0,1.0,labeled
Jolie Coquine,Caravan Palace,Caravan Palace,alpha,2023,1.0,1.0,1.0,labeled
Be Mine,Ofenbach,Be Mine,alpha,2023,1.0,1.0,1.0,labeled
Carrousel - Short Version,NTO,Carrousel (Short Version),alpha,2023,1.0,1.0,1.0,labeled
"Piano Sonata No. 1 in C Major, K. 279- III. Allegro",Wolfgang Amadeus Mozart,Mozart: Piano Works Vol. 1,alpha,2023,1.0,1.0,1.0,labeled
The Eponym,Chill Bump,The Loop - EP,alpha,2023,1.0,1.0,1.0,labeled
Tum Rakak,Deluxe,Stachelight,alpha,2023,1.0,1.0,1.0,labeled
"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""L'estate"": III. Tempo impetuoso d'estate",Antonio Vivaldi,Vivaldi: The Four Seasons,alpha,2023,1.0,1.0,1.0,labeled
Every Time,Boogie Belgique,Volta,alpha,2023,1.0,1.0,1.0,labeled
Jazz Suite No. 2: VI. Waltz No. 2,Dmitri Shostakovich,The Very Best of Shostakovich,alpha,2023,1.0,1.0,1.0,labeled
