name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
L’amour en Solitaire,Juliette Armanet,Petite Amie (Deluxe),gamma,2021,1.0,1.0,1.0,labeled
It's Just (House of Dupree),Leon Vynehall,Music for the Uninvited,gamma,2021,1.0,1.0,1.0,labeled
Leave Me Alone,KAYTRANADA,Leave Me Alone,gamma,2021,1.0,1.0,1.0,labeled
Breezeblocks,alt-J,An Awesome Wave,gamma,2021,1.0,1.0,1.0,labeled
Bécane,Lomepal,FLIP (Deluxe),gamma,2021,1.0,1.0,1.0,labeled
Conjure Dreams,Maceo Plex,Conjure Infinity,gamma,2021,1.0,1.0,1.0,labeled
Africain,Sexion d'Assaut,L'Apogée,gamma,2021,1.0,1.0,1.0,labeled
Snakes,Sikdope,Snakes,gamma,2021,1.0,1.0,1.0,labeled
Purple Noise,Boris Brejcha,Feuerfalter Special Edition,gamma,2021,1.0,1.0,1.0,labeled
Arc-en-ciel,Polo & Pan,Arc-en-ciel,gamma,2021,1.0,1.0,1.0,labeled
Alors alors,Bigflo & Oli,La vraie vie (Deluxe),gamma,2021,1.0,1.0,1.0,labeled
Les Cités D'Or,Psy 4 De La Rime,Les Cités D'Or,gamma,2021,1.0,1.0,1.0,labeled
See You Again (feat. Charlie Puth),Charlie Puth,Nine Track Mind,gamma,2021,1.0,1.0,1.0,labeled
Intentions (feat. Dan Caplen),Macklemore,GEMINI,gamma,2021,1.0,1.0,1.0,labeled
Paname allons danser,Sexion d'Assaut,L'Apogée,gamma,2021,1.0,1.0,1.0,labeled
Changes,2Pac,The Best of 2Pac,gamma,2021,1.0,1.0,1.0,labeled
Rave,Sam Paganini,Satellite,gamma,2021,1.0,1.0,1.0,labeled
64 Ways,Dam Swindle,Boxed Out,gamma,2021,1.0,1.0,1.0,labeled
Y.O.D.O,Chris Lake,Y.O.D.O,gamma,2021,1.0,1.0,1.0,labeled
The Sermon,Tchami,No Redemption EP,gamma,2021,1.0,1.0,1.0,labeled
Marc,Hocus Pocus,16 pièces,gamma,2021,1.0,1.0,1.0,labeled
Glorious (feat. Skylar Grey),Macklemore,GEMINI,gamma,2021,1.0,1.0,1.0,labeled
Losing It,FISHER,Losing It,gamma,2021,1.0,1.0,1.0,labeled
Ils appellent ça,Sexion d'Assaut,L'école des points vitaux,gamma,2021,1.0,1.0,1.0,labeled
Anna Wintour,Azealia Banks,Anna Wintour,gamma,2021,1.0,1.0,1.0,labeled
Si c'était le dernier,Diam's,S.O.S.,gamma,2021,1.0,1.0,1.0,labeled
70,Lomepal,FLIP,gamma,2021,1.0,1.0,1.0,labeled
A.D.,Sexion d'Assaut,"Les Chroniques Du 75, En Attendant L'Apogée",gamma,2021,1.0,1.0,1.0,labeled
Solar Detroit,Maceo Plex,Solar Sampler,gamma,2021,1.0,1.0,1.0,labeled
Le message,Youssoupha,Sur les chemins du retour,gamma,2021,1.0,1.0,1.0,labeled
Aufstehn! (feat. CeeLo Green),Seeed,Next!,gamma,2021,1.0,1.0,1.0,labeled
Equilibre,Hocus Pocus,16 pièces,gamma,2021,1.0,1.0,1.0,labeled
Le Majeur Qui Me Démange,Hocus Pocus,16 pièces,gamma,2021,1.0,1.0,1.0,labeled
Hey Ya!,Outkast,The Way You Move / Hey Ya!,gamma,2021,1.0,1.0,1.0,labeled
Move Mint - VIP,Herobust,Vertebreaker (Remixes),gamma,2021,1.0,1.0,1.0,labeled
Dickes B (feat. Black Kappa),Seeed,Next!,gamma,2021,1.0,1.0,1.0,labeled
Goodbyes,Jorja Smith,Lost & Found,gamma,2021,1.0,1.0,1.0,labeled
Rien n' t'appartient,Sexion d'Assaut,L'école des points vitaux,gamma,2021,1.0,1.0,1.0,labeled
Love$ick (feat. A$AP Rocky),Mura Masa,Mura Masa,gamma,2021,1.0,1.0,1.0,labeled
