name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Song of Durin,Lauren Nicole Walker,Song of Durin,epsilon,2023,1.0,1.0,1.0,labeled
Ride It,Regard,Ride It,epsilon,2023,1.0,1.0,1.0,labeled
Immortal Machine,Guillaume David,"Warhammer 40,000: Mechanicus (Original Soundtrack)",epsilon,2023,1.0,1.0,1.0,labeled
Ikigai,Isolated,Ikigai,epsilon,2023,1.0,1.0,1.0,labeled
Wormhole 2.0,Wice,2017 Singles,epsilon,2023,1.0,1.0,1.0,labeled
Lost Civilizations,Guillaume David,"Warhammer 40,000: Mechanicus (Original Soundtrack)",epsilon,2023,1.0,1.0,1.0,labeled
Cir•cles,Couros,Jupiter,epsilon,2023,1.0,1.0,1.0,labeled
Edge of the Light,Jordan Critz,Edge of the Light,epsilon,2023,1.0,1.0,1.0,labeled
Weekend milliardaire,Nhyx,Antiquités,epsilon,2023,1.0,1.0,1.0,labeled
Stormwind,Various Artists,World of Warcraft Original Soundtrack,epsilon,2023,1.0,1.0,1.0,labeled
Carry Me,Eurielle,Arcadia,epsilon,2023,1.0,1.0,1.0,labeled
Green Light,Airixis,Green Light,epsilon,2023,1.0,1.0,1.0,labeled
Escape,Sappheiros,Escape,epsilon,2023,1.0,1.0,1.0,labeled
Astronomia,Vicetone,Astronomia,epsilon,2023,1.0,1.0,1.0,labeled
Ghost in The Shell,Magnus Deus,Ghost in the Shell LP,epsilon,2023,1.0,1.0,1.0,labeled
Night Drive - Radio Edit,Sean&Bobo,Night Drive (Radio Edit),epsilon,2023,1.0,1.0,1.0,labeled
Eurielle,Eurielle,Arcadia,epsilon,2023,1.0,1.0,1.0,labeled
Fighting for Love,Yesable,Waiting for the Sunset,epsilon,2023,1.0,1.0,1.0,labeled
United We Stand - Divided We Fall,Two Steps from Hell,Archangel,epsilon,2023,1.0,1.0,1.0,labeled
Optimistic Nihilism,Epic Mountain,"Kurzgesagt, Vol. 4 (Original Motion Picture Soundtrack)",epsilon,2023,1.0,1.0,1.0,labeled
RISE,League of Legends,RISE,epsilon,2023,1.0,1.0,1.0,labeled
Millennial Rage,Guillaume David,"Warhammer 40,000: Mechanicus (Original Soundtrack)",epsilon,2023,1.0,1.0,1.0,labeled
The Return,Philter,The Campfire Tales,epsilon,2023,1.0,1.0,1.0,labeled
Depths of Eternity,William Roud,Depths of Eternity,epsilon,2023,1.0,1.0,1.0,labeled
Fljótavík,Georg Holm,Sigur Rós: Fljótavík,epsilon,2023,1.0,1.0,1.0,labeled
If Only You Knew How Much I Love You,Efisio Cross,The Vanquisher of Death,epsilon,2023,1.0,1.0,1.0,labeled
A Sacrifice to Save You,Efisio Cross,Tears from Heaven,epsilon,2023,1.0,1.0,1.0,labeled
Hell Shall Perish,Efisio Cross,The Vanquisher of Death,epsilon,2023,1.0,1.0,1.0,labeled
Strength of a Thousand Men,Two Steps from Hell,Archangel,epsilon,2023,1.0,1.0,1.0,labeled
Rainy Nights,Azaleh,Rainy Nights,epsilon,2023,1.0,1.0,1.0,labeled
City of the Dead,Eurielle,Arcadia,epsilon,2023,1.0,1.0,1.0,labeled
Dragon Rider,Two Steps from Hell,Archangel,epsilon,2023,1.0,1.0,1.0,labeled
Drop That Low (When I Dip),Tujamo,Drop That Low (When I Dip),epsilon,2023,1.0,1.0,1.0,labeled
I Am Justice,Various Artists,Diablo III Soundtrack,epsilon,2023,1.0,1.0,1.0,labeled
Framganga,Danheim,Herja,epsilon,2023,1.0,1.0,1.0,labeled
Wild,Efisio Cross,Wild,epsilon,2023,1.0,1.0,1.0,labeled
Children of the Omnissiah,Guillaume David,"Warhammer 40,000: Mechanicus (Original Soundtrack)",epsilon,2023,1.0,1.0,1.0,labeled
Awaken,League of Legends,Awaken,epsilon,2023,1.0,1.0,1.0,labeled
Sugarbabe,Rilès,Sugarbabe,epsilon,2023,1.0,1.0,1.0,labeled
Rue Montorgueil,Tomas Skyldeberg,Streets Of Paris,epsilon,2023,1.0,1.0,1.0,labeled
Drown - Original Mix,Enzalla,Drown,epsilon,2023,1.0,1.0,1.0,labeled
Post Malone (feat. RANI) - VIZE Remix,Sam Feldt,Post Malone (feat. RANI) [VIZE Remix],epsilon,2023,1.0,1.0,1.0,labeled
Touch off,UVERworld,Touch off,epsilon,2023,1.0,1.0,1.0,labeled
Protectors of the Earth,Two Steps from Hell,Invincible,epsilon,2023,1.0,1.0,1.0,labeled
