name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
chapelle,Pomme,les failles cachées,delta,2023,1.0,1.0,1.0,labeled
Fawkes the Phoenix,John Williams,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,delta,2023,1.0,1.0,1.0,labeled
Dance Me to the End of Love,Leonard Cohen,Various Positions,delta,2023,1.0,1.0,1.0,labeled
All The Pretty Little Horses (Vocals - Nick Cave),Current 93,Calling For Vanished Faces,delta,2023,1.0,1.0,1.0,labeled
Lailakomo,Sages comme des sauvages,Largue la peau,delta,2023,1.0,1.0,1.0,labeled
On brûlera,Pomme,À peu près,delta,2023,1.0,1.0,1.0,labeled
A l'aube,Feu! Chatterton,Feu! Chatterton - EP,delta,2023,1.0,1.0,1.0,labeled
Rita Skeeter,Various Artists,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),delta,2023,1.0,1.0,1.0,labeled
Hotel Room - 2004 Remaster,Edgar Broughton Band,Edgar Broughton Band,delta,2023,1.0,1.0,1.0,labeled
les séquoias,Pomme,les failles,delta,2023,1.0,1.0,1.0,labeled
God Is Alive Magic Is Afoot,Buffy Sainte-Marie,Illuminations,delta,2023,1.0,1.0,1.0,labeled
One In A Million,Katerine Duska,Embodiment,delta,2023,1.0,1.0,1.0,labeled
saphir,Pomme,les failles,delta,2023,1.0,1.0,1.0,labeled
Sympathy,Rare Bird,Sympathy,delta,2023,1.0,1.0,1.0,labeled
La lavande,Pomme,À peu près,delta,2023,1.0,1.0,1.0,labeled
Happens to the Heart,Leonard Cohen,Thanks for the Dance,delta,2023,1.0,1.0,1.0,labeled
Another Year Ends,Various Artists,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),delta,2023,1.0,1.0,1.0,labeled
"Mallorca, Op. 202",Isaac Albéniz,Le voyage d'Albéniz,delta,2023,1.0,1.0,1.0,labeled
Without Her,Harry Nilsson,Pandemonium Shadow Show,delta,2023,1.0,1.0,1.0,labeled
Yes I Do,Monika,Exit,delta,2023,1.0,1.0,1.0,labeled
Isimbi,Gaël Faye,Pili pili sur un croissant au beurre,delta,2023,1.0,1.0,1.0,labeled
Hated Because of Great Qualities,Blonde Redhead,Melody of Certain Damaged Lemons,delta,2023,1.0,1.0,1.0,labeled
Witchwood,Strawbs,From The Witchwood,delta,2023,1.0,1.0,1.0,labeled
J'arrive où je suis étranger,Various Artists,Hommage à Jean Ferrat : Des airs de liberté,delta,2023,1.0,1.0,1.0,labeled
Potter Waltz,Various Artists,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),delta,2023,1.0,1.0,1.0,labeled
Inner City Blues,Rodríguez,Cold Fact,delta,2023,1.0,1.0,1.0,labeled
Your Freedom Is the End of Me,Melanie De Biasio,Lilies,delta,2023,1.0,1.0,1.0,labeled
The Quidditch World Cup,Various Artists,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),delta,2023,1.0,1.0,1.0,labeled
"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",Pink Floyd,Wish You Were Here (Remastered Version),delta,2023,1.0,1.0,1.0,labeled
anxiété,Pomme,les failles,delta,2023,1.0,1.0,1.0,labeled
À trop courir,Gaël Faye,Rythmes et botanique,delta,2023,1.0,1.0,1.0,labeled
Lundi Méchant,Gaël Faye,Lundi Méchant,delta,2023,1.0,1.0,1.0,labeled
Moving On,Leonard Cohen,Thanks for the Dance,delta,2023,1.0,1.0,1.0,labeled
Foreign Visitors Arrive,Various Artists,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),delta,2023,1.0,1.0,1.0,labeled
Reunion of Friends,John Williams,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,delta,2023,1.0,1.0,1.0,labeled
The Arrival of Baby Harry,John Williams,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,delta,2023,1.0,1.0,1.0,labeled
Comin' Back to Me,Jefferson Airplane,Surrealistic Pillow,delta,2023,1.0,1.0,1.0,labeled
To The Bone,Okou,Serpentine,delta,2023,1.0,1.0,1.0,labeled
Samba,Samba De La Muerte,Samba de la Muerte,delta,2023,1.0,1.0,1.0,labeled
What He Wrote,Laura Marling,I Speak Because I Can,delta,2023,1.0,1.0,1.0,labeled
Rain And Tears,Aphrodite's Child,Best Of,delta,2023,1.0,1.0,1.0,labeled
Thanks for the Dance,Leonard Cohen,Thanks for the Dance,delta,2023,1.0,1.0,1.0,labeled
Respire,Gaël Faye,Respire,delta,2023,1.0,1.0,1.0,labeled
Fawkes Is Reborn,John Williams,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,delta,2023,1.0,1.0,1.0,labeled
The Room of Requirements,Various Artists,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),delta,2023,1.0,1.0,1.0,labeled
You Want It Darker,Leonard Cohen,You Want It Darker,delta,2023,1.0,1.0,1.0,labeled
Tôt le matin,Gaël Faye,Rythmes et botanique,delta,2023,1.0,1.0,1.0,labeled
