name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Leap of Faith,Mark John Petrie,Ascendance,alpha,2022,1.0,1.0,1.0,labeled
Look to the Skies,James Paget,Believe,alpha,2022,1.0,1.0,1.0,labeled
A Matter of Time,Marcus Warner,A Matter of Time,alpha,2022,1.0,1.0,1.0,labeled
Villanelle,Jo Blankenburg,Kaleidoscope,alpha,2022,1.0,1.0,1.0,labeled
The Vikings are Told of Ragnar's Death,Trevor Morris,The Vikings III (Music from the TV Series),alpha,2022,1.0,1.0,1.0,labeled
Blackheart,Two Steps from Hell,SkyWorld,alpha,2022,1.0,1.0,1.0,labeled
Dystopia,Hi-Finesse,Dystopia,alpha,2022,1.0,1.0,1.0,labeled
Crossing Mars,Harry Gregson-Williams,The Martian: Original Motion Picture Score,alpha,2022,1.0,1.0,1.0,labeled
On brûlera,Pomme,À peu près,alpha,2022,1.0,1.0,1.0,labeled
Old West Conquest,Antti Martikainen,"Hymn of the High Seas, Vol. 1",alpha,2022,1.0,1.0,1.0,labeled
Honor,Epic Soul Factory,Epic Soul Factory Vol. 2,alpha,2022,1.0,1.0,1.0,labeled
"Clair de Lune (As Featured in the ""Godzilla: King of the Monsters"" Official Trailer)",Imagine Music,"Clair de Lune (As Featured in the ""Godzilla: King of the Monsters"" Official Trailer)",alpha,2022,1.0,1.0,1.0,labeled
Sailboat Of Mine,Mario Grigorov,Sailboat Of Mine,alpha,2022,1.0,1.0,1.0,labeled
Starscape,Erik Ekholm,Starscape,alpha,2022,1.0,1.0,1.0,labeled
Lullaby of the Giants,Bear McCreary,God of War (PlayStation Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Star Sky,Two Steps from Hell,Battlecry,alpha,2022,1.0,1.0,1.0,labeled
White Hart,James Newton Howard,Snow White & The Huntsman,alpha,2022,1.0,1.0,1.0,labeled
The Blue Whale,Steven Price,The Hunt,alpha,2022,1.0,1.0,1.0,labeled
Solomon Vandy,James Newton Howard,Blood Diamond (Original Motion Picture Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Suns and Stars,Really Slow Motion,Elevation,alpha,2022,1.0,1.0,1.0,labeled
We Ride as One,James Paget,Believe,alpha,2022,1.0,1.0,1.0,labeled
Enchantress,Two Steps from Hell,Vanquish,alpha,2022,1.0,1.0,1.0,labeled
High C's,Two Steps from Hell,Vanquish,alpha,2022,1.0,1.0,1.0,labeled
Arrival to Earth,Various Artists,Transformers: The Score,alpha,2022,1.0,1.0,1.0,labeled
Remember Not to Forget,Audiomachine,Life,alpha,2022,1.0,1.0,1.0,labeled
Beyond Love (feat. Lara Ausensi),Iván Torrent,Beyond Love (feat. Lara Ausensi),alpha,2022,1.0,1.0,1.0,labeled
Silent Running - Epic Trailer Version,Hidden Citizens,Silent Running (Epic Trailer Version),alpha,2022,1.0,1.0,1.0,labeled
Goodbye Brother,Ramin Djawadi,Game Of Thrones (Music From The HBO Series),alpha,2022,1.0,1.0,1.0,labeled
Vulcan,James Paget,Rubicon,alpha,2022,1.0,1.0,1.0,labeled
Homecoming,Audiomachine,Tree of Life,alpha,2022,1.0,1.0,1.0,labeled
First Class,Henry Jackman,X-MEN: FIRST CLASS,alpha,2022,1.0,1.0,1.0,labeled
Tokyo Rain,Marcus Warner,39 Seconds,alpha,2022,1.0,1.0,1.0,labeled
The Kings and Queens of Old,Various Artists,The Chronicles Of Narnia: Prince Caspian Original Soundtrack,alpha,2022,1.0,1.0,1.0,labeled
Go Beyond,James Paget,Rubicon,alpha,2022,1.0,1.0,1.0,labeled
Analytics,EA Games Soundtrack,SimCity,alpha,2022,1.0,1.0,1.0,labeled
Ordained By God / Welcome To Kingsbridge,Trevor Morris,The Pillars Of The Earth (Original Television Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Kogan (feat. Felicia Farerre),Two Steps from Hell,"Classics, Vol. 2",alpha,2022,1.0,1.0,1.0,labeled
The Last Stand,Two Steps from Hell,Archangel,alpha,2022,1.0,1.0,1.0,labeled
Crusader Of Glory,Erik Ekholm,Best Of Epic Music,alpha,2022,1.0,1.0,1.0,labeled
Extinction,Epic Soul Factory,Epic Soul Factory Vol. 2,alpha,2022,1.0,1.0,1.0,labeled
The Crescent Moon Chronicles,Jo Blankenburg,Petrichor,alpha,2022,1.0,1.0,1.0,labeled
Sunder,Really Slow Motion,Battle Angel,alpha,2022,1.0,1.0,1.0,labeled
The Day Will Come,Bear McCreary,The Walking Dead (Original Television Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Shadow of Baar Dau,Brad Derrick,The Elder Scrolls Online: Morrowind (Original Game Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Sam at the Lake,Various Artists,Transformers: The Score,alpha,2022,1.0,1.0,1.0,labeled
Resurgam,Anne Dudley,Poldark: Music from the TV Series,alpha,2022,1.0,1.0,1.0,labeled
Emotional,Morninglightmusic,"Awesome Songs, Vol. 2",alpha,2022,1.0,1.0,1.0,labeled
Wintersong,Marcus Warner,Wintersong,alpha,2022,1.0,1.0,1.0,labeled
Carried Home,Marcus Warner,39 Seconds,alpha,2022,1.0,1.0,1.0,labeled
Race to Durango,Two Steps from Hell,Dragon,alpha,2022,1.0,1.0,1.0,labeled
Family Moments,Sound Adventures,Tree of Life,alpha,2022,1.0,1.0,1.0,labeled
The Streets of Whiterun,Jeremy Soule,The Elder Scrolls V: Skyrim: Original Game Soundtrack,alpha,2022,1.0,1.0,1.0,labeled
Jimmy,L.E.J,En attendant l’album,alpha,2022,1.0,1.0,1.0,labeled
Paladin's Light,Epic Soul Factory,Epic Soul Factory Vol. 2,alpha,2022,1.0,1.0,1.0,labeled
Autobots,Various Artists,Transformers: The Score,alpha,2022,1.0,1.0,1.0,labeled
Grazelands Dawn (feat. Jeremy Soule),Brad Derrick,The Elder Scrolls Online: Morrowind (Original Game Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Havana (feat. Young Thug),Camila Cabello,Camila,alpha,2022,1.0,1.0,1.0,labeled
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",alpha,2022,1.0,1.0,1.0,labeled
Mother's Lullaby,Sound Adventures,Awakening,alpha,2022,1.0,1.0,1.0,labeled
Garador's Flight,Jo Blankenburg,Elysium,alpha,2022,1.0,1.0,1.0,labeled
Dragon,Two Steps from Hell,Dragon,alpha,2022,1.0,1.0,1.0,labeled
"No Retreat, No Surrender",Audiomachine,Worlds of Wonder,alpha,2022,1.0,1.0,1.0,labeled
A Land of War and Poetry (feat. Jeremy Soule),Brad Derrick,The Elder Scrolls Online: Morrowind (Original Game Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Passion of Victory,Future World Music,A Hero Will Rise,alpha,2022,1.0,1.0,1.0,labeled
Reaper's Coast,Borislav Slavov,Divinity: Original Sin 2 (Original Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Majestic,Liquid Cinema,Cinematic Emotions & Drama,alpha,2022,1.0,1.0,1.0,labeled
King of All Kings,Soundcritters,Colonization,alpha,2022,1.0,1.0,1.0,labeled
Flight Of The Silverbird,Two Steps from Hell,Battlecry,alpha,2022,1.0,1.0,1.0,labeled
Renascence,Jo Blankenburg,Kaleidoscope,alpha,2022,1.0,1.0,1.0,labeled
Karmaprana,Fakear,Karmaprana,alpha,2022,1.0,1.0,1.0,labeled
Throw Off the Bowlines,James Paget,Believe,alpha,2022,1.0,1.0,1.0,labeled
Birth of a Hero,Two Steps from Hell,"Classics, Vol. 1",alpha,2022,1.0,1.0,1.0,labeled
Making Water,Harry Gregson-Williams,The Martian: Original Motion Picture Score,alpha,2022,1.0,1.0,1.0,labeled
Heroic Opportunities,Soundcritters,Morrow Forge,alpha,2022,1.0,1.0,1.0,labeled
Moonlight Sonata - Epic Trailer Version,Hidden Citizens,Revivals,alpha,2022,1.0,1.0,1.0,labeled
À peu près,Pomme,À peu près,alpha,2022,1.0,1.0,1.0,labeled
Lone Survivor,Explosions In The Sky / Steve Jablonsky,Lone Survivor (Original Motion Picture Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Dance of the Druids (feat. Raya Yarbrough),Bear McCreary,"Outlander: Season 1, Vol. 1 (Original Television Soundtrack)",alpha,2022,1.0,1.0,1.0,labeled
Même robe qu'hier,Pomme,À peu près,alpha,2022,1.0,1.0,1.0,labeled
Nameless Order,Ramin Djawadi,The Great Wall (Original Motion Picture Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
The Hero Within,James Paget,Rubicon,alpha,2022,1.0,1.0,1.0,labeled
As Time Goes By (Piano Version),London Music Works,100 Piano Classics: In the Lounge,alpha,2022,1.0,1.0,1.0,labeled
"The Breaking of the Fellowship (feat. ""In Dreams"")",Howard Shore,The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
The Enchantress White,Peter Crowley,Collection 8,alpha,2022,1.0,1.0,1.0,labeled
Angel's Flight,Sound Adventures,Awakening,alpha,2022,1.0,1.0,1.0,labeled
For the Win,Two Steps from Hell,SkyWorld,alpha,2022,1.0,1.0,1.0,labeled
Beyond the Bounds of Joy,Sound Adventures,Nemesis,alpha,2022,1.0,1.0,1.0,labeled
Torsion,Mark Petrie,Big Sky,alpha,2022,1.0,1.0,1.0,labeled
Across the Drift (Riftborn Theme),FlyByNo,Endless Space 2 (Original Video Game Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Je t'Adore,Eurielle,Arcadia,alpha,2022,1.0,1.0,1.0,labeled
"Gerudo Valley (From ""The Legend of Zelda: Ocarina of Time"")",London Music Works,The Essential Games Music Collection Vol.2,alpha,2022,1.0,1.0,1.0,labeled
The Door in the Air,Various Artists,The Chronicles Of Narnia: Prince Caspian Original Soundtrack,alpha,2022,1.0,1.0,1.0,labeled
Light of Nibel (feat. Aeralie Brighton),Gareth Coker,Ori and the Blind Forest (Original Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Destination Tortuga,Antti Martikainen,Set Sail for the Golden Age,alpha,2022,1.0,1.0,1.0,labeled
Prince Caspian Flees,Various Artists,The Chronicles Of Narnia: Prince Caspian Original Soundtrack,alpha,2022,1.0,1.0,1.0,labeled
Ezio's Family,Jesper Kyd,Assassin's Creed 2 (Original Game Soundtrack),alpha,2022,1.0,1.0,1.0,labeled
Eshkeri: Septimus,Ilan Eshkeri,Stardust - Music From The Motion Picture,alpha,2022,1.0,1.0,1.0,labeled
Arwen's Promise,Eurielle,Arwen's Promise,alpha,2022,1.0,1.0,1.0,labeled
Coronation,James Newton Howard,Snow White & The Huntsman,alpha,2022,1.0,1.0,1.0,labeled
Beauty Within,Various Artists,"Optimistic Themes, Vol. 3",alpha,2022,1.0,1.0,1.0,labeled
