name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Nightscape,There For Tomorrow,Nightscape,delta,2022,1.0,1.0,1.0,labeled
Here's To The State - Live,Eddie Vedder,Into The Wild (Music For The Motion Picture),delta,2022,1.0,1.0,1.0,labeled
Rain And Tears,Aphrodite's Child,Best Of,delta,2022,1.0,1.0,1.0,labeled
Slowoperation,Gaël Faye,Pili Pili Sur Un Croissant Au Beurre,delta,2022,1.0,1.0,1.0,labeled
Davet,Derya Yıldırım & Grup Şimşek,Nem Kaldi,delta,2022,1.0,1.0,1.0,labeled
Earthquake,Kolinga,Earthquake (Edition Deluxe),delta,2022,1.0,1.0,1.0,labeled
The Call,Regina Spektor,The Call,delta,2022,1.0,1.0,1.0,labeled
Formidable,La Bronze,Formidable,delta,2022,1.0,1.0,1.0,labeled
Concierto De Aranjuez,Jim Hall,Concierto (CTI Records 40th Anniversary Edition),delta,2022,1.0,1.0,1.0,labeled
India Song - BOF India Song,Jeanne Moreau,Chanson française,delta,2022,1.0,1.0,1.0,labeled
Réverbère,Laura Cahen,Nord,delta,2022,1.0,1.0,1.0,labeled
Paris métèque,Gaël Faye,Rythmes et botanique,delta,2022,1.0,1.0,1.0,labeled
Spiritual,Charlie Haden,Beyond The Missoury Sky,delta,2022,1.0,1.0,1.0,labeled
Wild Child,Kolinga,Earthquake (Edition Deluxe),delta,2022,1.0,1.0,1.0,labeled
La Complainte du Roi Renaud,Édith Piaf,Edith Piaf,delta,2022,1.0,1.0,1.0,labeled
Guaranteed - Humming Version,Eddie Vedder,Into The Wild (Music For The Motion Picture),delta,2022,1.0,1.0,1.0,labeled
Petit homme,Kolinga,Earthquake,delta,2022,1.0,1.0,1.0,labeled
Boonghusa,Limousine,Boonghusa - EP,delta,2022,1.0,1.0,1.0,labeled
Photographs,Eddie Vedder,Into The Wild (Music For The Motion Picture),delta,2022,1.0,1.0,1.0,labeled
Road Movie,Yom,Songs for the Old Man,delta,2022,1.0,1.0,1.0,labeled
Come Away,Sons Of The East,Sons Of The East,delta,2022,1.0,1.0,1.0,labeled
Fluffy's Harp,John Williams,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,delta,2022,1.0,1.0,1.0,labeled
