name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Réplique,Batlik,L'art de la défaite,delta,2024,1.0,1.0,1.0,labeled
NYC,Gaël Faye,Lundi Méchant,delta,2024,1.0,1.0,1.0,labeled
Trop beau,Lomepal,Jeannine,delta,2024,1.0,1.0,1.0,labeled
Ulysses and the Sea,Papooz,Papooz,delta,2024,1.0,1.0,1.0,labeled
Slughorn's Confession,Nicholas Hooper,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),delta,2024,1.0,1.0,1.0,labeled
Potter Waltz,Various Artists,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),delta,2024,1.0,1.0,1.0,labeled
The Weasley Stomp,Nicholas Hooper,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),delta,2024,1.0,1.0,1.0,labeled
Coup de tête,Bon Entendeur,Aller-retour,delta,2024,1.0,1.0,1.0,labeled
Fireworks,Various Artists,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),delta,2024,1.0,1.0,1.0,labeled
Lumos! (Hedwig's Theme),John Williams,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,delta,2024,1.0,1.0,1.0,labeled
Aunt Marge's Waltz,John Williams,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,delta,2024,1.0,1.0,1.0,labeled
Lily's Theme,Alexandre Desplat,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",delta,2024,1.0,1.0,1.0,labeled
Dinosaures,Gaël Faye,Des fleurs,delta,2024,1.0,1.0,1.0,labeled
Professor Umbridge,Various Artists,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),delta,2024,1.0,1.0,1.0,labeled
Promenades,Batlik,L'art de la défaite,delta,2024,1.0,1.0,1.0,labeled
Foreign Visitors Arrive,Various Artists,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),delta,2024,1.0,1.0,1.0,labeled
Flight of the Order of the Phoenix,Various Artists,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),delta,2024,1.0,1.0,1.0,labeled
