name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Prince Vince,Kid Francescoli,With Julia,alpha,2024,1.0,1.0,1.0,labeled
Brooklyn,Youngblood Brass Band,Live. Places.,alpha,2024,1.0,1.0,1.0,labeled
Jailhouse Blues,Smokey Joe & The Kid,Smokid Inc.,alpha,2024,1.0,1.0,1.0,labeled
Trombone,AronChupa,Trombone,alpha,2024,1.0,1.0,1.0,labeled
Catgroove,Parov Stelar,The Art Of Sampling (Deluxe Version),alpha,2024,1.0,1.0,1.0,labeled
Mo' Momo!,Lucky Chops,Lucky Chops,alpha,2024,1.0,1.0,1.0,labeled
Fade Out Lines - The Avener Rework,The Avener,The Wanderings Of The Avener,alpha,2024,1.0,1.0,1.0,labeled
Prokrastination,Moop Mama,M.O.O.P.Topia,alpha,2024,1.0,1.0,1.0,labeled
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,alpha,2024,1.0,1.0,1.0,labeled
Umbrella,Youngblood Brass Band,Covers 1,alpha,2024,1.0,1.0,1.0,labeled
Piro,Onyx,Shotgunz In Hell,alpha,2024,1.0,1.0,1.0,labeled
Brass Devil,Parov Stelar,Voodoo Sonic,alpha,2024,1.0,1.0,1.0,labeled
Mama Talking,Parov Stelar,The Burning Spider,alpha,2024,1.0,1.0,1.0,labeled
Smokid All Stars,Smokey Joe & The Kid,Running to the Moon,alpha,2024,1.0,1.0,1.0,labeled
Unstoppable,Sia,This Is Acting (Deluxe Version),alpha,2024,1.0,1.0,1.0,labeled
Whatchugot (Pisk Remix),Caro Emerald,Whatchugot (Pisk Remix),alpha,2024,1.0,1.0,1.0,labeled
Rocky Raccoon,Scary Pockets,Nu Funk,alpha,2024,1.0,1.0,1.0,labeled
Making Music,Deluxe,The Deluxe Family Show,alpha,2024,1.0,1.0,1.0,labeled
Please Come Home (That's a Pretty Good Love),Smokey Joe & The Kid,Running to the Moon,alpha,2024,1.0,1.0,1.0,labeled
The Eponym,Chill Bump,The Loop - EP,alpha,2024,1.0,1.0,1.0,labeled
Still Young,The Cat Empire,Steal the Light,alpha,2024,1.0,1.0,1.0,labeled
Egoraphobia,Deluxe,Boys & Girl,alpha,2024,1.0,1.0,1.0,labeled
You Don't Love Me - Pisk Remix,Caro Emerald,You Don't Love Me (Pisk Remix),alpha,2024,1.0,1.0,1.0,labeled
Miracle,Caravan Palace,Chronologic,alpha,2024,1.0,1.0,1.0,labeled
Faidherbe Square,Proleter,Curses from Past Times EP,alpha,2024,1.0,1.0,1.0,labeled
Matilda,Parov Stelar,"Coco, Pt. 2",alpha,2024,1.0,1.0,1.0,labeled
I've got that tune,Chinese Man,Groove Sessions,alpha,2024,1.0,1.0,1.0,labeled
False Confidence,Noah Kahan,Busyhead,alpha,2024,1.0,1.0,1.0,labeled
I Miss the Misery,Halestorm,The Strange Case of...,alpha,2024,1.0,1.0,1.0,labeled
Party Like Its 1920,The Swinghoppers,Party Like Its 1920,alpha,2024,1.0,1.0,1.0,labeled
Tôt le matin,Gaël Faye,Rythmes et botanique,alpha,2024,1.0,1.0,1.0,labeled
Carrousel - Short Version,NTO,Carrousel (Short Version),alpha,2024,1.0,1.0,1.0,labeled
Washington Square,Chinese Man,Groove Sessions,alpha,2024,1.0,1.0,1.0,labeled
All Night,Parov Stelar,The Art Of Sampling (Deluxe Version),alpha,2024,1.0,1.0,1.0,labeled
Jolie Coquine,Caravan Palace,Caravan Palace,alpha,2024,1.0,1.0,1.0,labeled
