name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Baobab,Waysons,Baobab,epsilon,2020,1.0,1.0,1.0,labeled
Too Fast,Wizard,Too Fast,epsilon,2020,1.0,1.0,1.0,labeled
Ghosts 'n' Stuff,deadmau5,For Lack Of A Better Name,epsilon,2020,1.0,1.0,1.0,labeled
Watercolour - Full Version; Single,Pendulum,Immersion,epsilon,2020,1.0,1.0,1.0,labeled
Blue (Da Ba Dee),We Rabbitz,Blue (Da Ba Dee),epsilon,2020,1.0,1.0,1.0,labeled
DJ Turn It Up,Yellow Claw,Amsterdam Twerk Music,epsilon,2020,1.0,1.0,1.0,labeled
Strobe - Radio Edit,deadmau5,Strobe,epsilon,2020,1.0,1.0,1.0,labeled
Had Some Drinks,Two Feet,Had Some Drinks,epsilon,2020,1.0,1.0,1.0,labeled
Polaris,Various Artists,"We Are Friends, Vol. 6",epsilon,2020,1.0,1.0,1.0,labeled
E.L.E.P.H.A.N.T,Booba,E.L.E.P.H.A.N.T,epsilon,2020,1.0,1.0,1.0,labeled
Stronger,Kanye West,Graduation (UK Version),epsilon,2020,1.0,1.0,1.0,labeled
When I Say I Love U (Saux Remix),Shy Girls,When I Say I Love U (Saux Remix),epsilon,2020,1.0,1.0,1.0,labeled
It's over (feat. Maki Flow),JØD,It's over (feat. Maki Flow),epsilon,2020,1.0,1.0,1.0,labeled
Champions,Various Artists,Champions,epsilon,2020,1.0,1.0,1.0,labeled
'Till I Collapse,Eminem,The Eminem Show,epsilon,2020,1.0,1.0,1.0,labeled
Espera,Emrod,Espera,epsilon,2020,1.0,1.0,1.0,labeled
Issues - Alan Walker Remix,Julia Michaels,Issues (Alan Walker Remix),epsilon,2020,1.0,1.0,1.0,labeled
Tonight Tonight,Hot Chelle Rae,Whatever,epsilon,2020,1.0,1.0,1.0,labeled
Stems,Half an Orange,Stems,epsilon,2020,1.0,1.0,1.0,labeled
Forgive,Wizard,Vox EP,epsilon,2020,1.0,1.0,1.0,labeled
