name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Mind Upload,Epic Mountain,"Kurzgesagt, Vol. 7 (Original Motion Picture Soundtrack)",epsilon,2025,1.0,1.0,1.0,labeled
Millennial Rage,Guillaume David,"Warhammer 40,000: Mechanicus (Original Soundtrack)",epsilon,2025,1.0,1.0,1.0,labeled
"Helpless - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Mindflayer,Becko,Mindflayer,epsilon,2025,1.0,1.0,1.0,labeled
Red Skies,J+1,Red Skies,epsilon,2025,1.0,1.0,1.0,labeled
Warrior Princess,Dos Brains,A World Of Color,epsilon,2025,1.0,1.0,1.0,labeled
Who Will Help Me Carry Him,Dan Thiessen,Who Will Help Me Carry Him,epsilon,2025,1.0,1.0,1.0,labeled
Never Been Away,ABBOTT,Somnia,epsilon,2025,1.0,1.0,1.0,labeled
Where My Girls At,VENUS,Where My Girls At,epsilon,2025,1.0,1.0,1.0,labeled
Mountains,Ether,Mountains,epsilon,2025,1.0,1.0,1.0,labeled
Sermon of Purification,Joshua Lamberti,Distant Millennia Vol. I,epsilon,2025,1.0,1.0,1.0,labeled
21614 (On The Road Again),Rob & Chris,21614 (On The Road Again),epsilon,2025,1.0,1.0,1.0,labeled
三,Aether,三,epsilon,2025,1.0,1.0,1.0,labeled
Per Aspera,Joshua Lamberti,Distant Millennia Vol. I,epsilon,2025,1.0,1.0,1.0,labeled
Liberators,Epic Score,Vengeance - ES033,epsilon,2025,1.0,1.0,1.0,labeled
convo,S N U G,Layover,epsilon,2025,1.0,1.0,1.0,labeled
Circadian,S N U G,Quietude,epsilon,2025,1.0,1.0,1.0,labeled
Admiral of the Void,Joshua Lamberti,Distant Millennia Vol. I,epsilon,2025,1.0,1.0,1.0,labeled
"Revelations - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Killer Instinct,Ray Gun Hero,Plethora,epsilon,2025,1.0,1.0,1.0,labeled
137 - House Remix by Alex Kzn,Jay Ray,137 (House Remix by Alex KZN),epsilon,2025,1.0,1.0,1.0,labeled
Midnight,Diamans,Midnight,epsilon,2025,1.0,1.0,1.0,labeled
"Lost Memories - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Raindrops,Eurielle,Arcadia,epsilon,2025,1.0,1.0,1.0,labeled
"What We Had - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Galactic Runway,Tonebox,Nocturn,epsilon,2025,1.0,1.0,1.0,labeled
Dance of the Cryptek,Guillaume David,"Warhammer 40,000: Mechanicus (Original Soundtrack)",epsilon,2025,1.0,1.0,1.0,labeled
Storm City,Cloud Battalion,Storm City,epsilon,2025,1.0,1.0,1.0,labeled
Ezio's Family Drill - Remix,Archit Gupta,Ezio's Family Drill (Remix),epsilon,2025,1.0,1.0,1.0,labeled
Thoughts,Randloev,Thoughts,epsilon,2025,1.0,1.0,1.0,labeled
"The Letter - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
"Awake - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Ascension,Blackmill,Ascension,epsilon,2025,1.0,1.0,1.0,labeled
Destiny,Neovaii,Twilight,epsilon,2025,1.0,1.0,1.0,labeled
"The Last Run - From ""Surface""",Ólafur Arnalds,Surface (Music from the Original TV Series),epsilon,2025,1.0,1.0,1.0,labeled
Shadowtask,PYLOT,Shadowtask,epsilon,2025,1.0,1.0,1.0,labeled
Overhours,Warriyo,Overhours,epsilon,2025,1.0,1.0,1.0,labeled
Dzikaje Palavańnie,Dzivia,Rujnuj,epsilon,2025,1.0,1.0,1.0,labeled
