name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),alpha,2021,1.0,1.0,1.0,labeled
Droit devant,Les Cowboys Fringants,L'expédition,alpha,2021,1.0,1.0,1.0,labeled
Audition (The Fools Who Dream),Various Artists,La La Land - The Complete Musical Experience,alpha,2021,1.0,1.0,1.0,labeled
Happiest Man on Earth - Radio Edit,Broken Back,"Dear Misfortune, Mother of Joy - EP",alpha,2021,1.0,1.0,1.0,labeled
Tchavolo Swing,Havana Swing,Django's Lion,alpha,2021,1.0,1.0,1.0,labeled
Papa,Bigflo & Oli,La vraie vie (Deluxe),alpha,2021,1.0,1.0,1.0,labeled
She's Only Happy In The Sun,Ben Harper,Diamonds On The Inside,alpha,2021,1.0,1.0,1.0,labeled
Underground,Mariama,The Easy Way Out,alpha,2021,1.0,1.0,1.0,labeled
SUBEME LA RADIO,Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),alpha,2021,1.0,1.0,1.0,labeled
Downtown,Ours Samplus,Moose Head,alpha,2021,1.0,1.0,1.0,labeled
September,Giles Lamb,Before the Birds,alpha,2021,1.0,1.0,1.0,labeled
Hopopono,GoGo Penguin,v2.0,alpha,2021,1.0,1.0,1.0,labeled
The Other Side,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),alpha,2021,1.0,1.0,1.0,labeled
Some of These Days,The Hot Sardines,Shanghai'd,alpha,2021,1.0,1.0,1.0,labeled
Sun,Two Door Cinema Club,Beacon,alpha,2021,1.0,1.0,1.0,labeled
Cheesecake,Louis Armstrong,Hello Louis - The Hit Years (1963-1969),alpha,2021,1.0,1.0,1.0,labeled
Classic Rope-A-Dope,Various Artists,La La Land - The Complete Musical Experience,alpha,2021,1.0,1.0,1.0,labeled
Sunday With A Flu,Yodelice,Sunday With A Flu,alpha,2021,1.0,1.0,1.0,labeled
Parade,Rone,Tohu Bohu,alpha,2021,1.0,1.0,1.0,labeled
When I Get Low I Get High,The Hot Sardines,French Fries & Champagne,alpha,2021,1.0,1.0,1.0,labeled
The Story of the Impossible,Peter von Poehl,Going to Where the Tea Trees Are,alpha,2021,1.0,1.0,1.0,labeled
Jimmy's Gang,Parov Stelar,"The Princess, Pt. Two",alpha,2021,1.0,1.0,1.0,labeled
Smile,Ours Samplus,Smile,alpha,2021,1.0,1.0,1.0,labeled
Dommage,Bigflo & Oli,La vraie vie (Deluxe),alpha,2021,1.0,1.0,1.0,labeled
She's Always Right (I'm Never Wrong),Big Bad Voodoo Daddy,Rattle Them Bones (Deluxe Edition),alpha,2021,1.0,1.0,1.0,labeled
Another Day Of Sun - With Radios,Various Artists,La La Land - The Complete Musical Experience,alpha,2021,1.0,1.0,1.0,labeled
A Million Dreams,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),alpha,2021,1.0,1.0,1.0,labeled
