name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Pixel,Modeselektor proudly presents,Modeselektion Vol. 02,gamma,2020,1.0,1.0,1.0,labeled
Baby (feat. Hollie Cook),Nova Tunes,Coffret Nova Tunes 2.1 - 3.0 (2010 - 2014),gamma,2020,1.0,1.0,1.0,labeled
Tokyo Drift,KVSH,Tokyo Drift,gamma,2020,1.0,1.0,1.0,labeled
Rave,Sam Paganini,Satellite,gamma,2020,1.0,1.0,1.0,labeled
2009,Mac Miller,Swimming,gamma,2020,1.0,1.0,1.0,labeled
Astral,Tale Of Us,Astral,gamma,2020,1.0,1.0,1.0,labeled
Great Spirit,Armin van Buuren,The Best Of Armin Only,gamma,2020,1.0,1.0,1.0,labeled
Boa Noite,Tropkillaz,Boa Noite (Remixes),gamma,2020,1.0,1.0,1.0,labeled
Free Tibet - Vini Vici Remix,Hilight Tribe,Free Tibet,gamma,2020,1.0,1.0,1.0,labeled
Singularity,Stephan Bodzin,Powers of Ten,gamma,2020,1.0,1.0,1.0,labeled
Domino,Oxia,Domino Remixes,gamma,2020,1.0,1.0,1.0,labeled
Temporary View,SBTRKT,Wonder Where We Land,gamma,2020,1.0,1.0,1.0,labeled
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist (Deluxe Edition),gamma,2020,1.0,1.0,1.0,labeled
Riva (Restart The Game) - Krono Remix,Klingande,Riva (Restart The Game) [The Remixes],gamma,2020,1.0,1.0,1.0,labeled
Hold On,SBTRKT,SBTRKT (Deluxe Version),gamma,2020,1.0,1.0,1.0,labeled
North Star,Tale Of Us,North Star / Silent Space,gamma,2020,1.0,1.0,1.0,labeled
A coeur ouvert,Sexion d'Assaut,L'Apogée,gamma,2020,1.0,1.0,1.0,labeled
Call Me Mother,RuPaul,American,gamma,2020,1.0,1.0,1.0,labeled
Moon Rocks,Enrico Sangiuliano,Moon Rocks,gamma,2020,1.0,1.0,1.0,labeled
Wati by Night,Sexion d'Assaut,L'école des points vitaux,gamma,2020,1.0,1.0,1.0,labeled
Bling Bling,Malaa,Bling Bling,gamma,2020,1.0,1.0,1.0,labeled
Liquid Hook - Interactive Noise Remix,Liquid Soul,Part of the Dream - Compilation by Liquid Soul,gamma,2020,1.0,1.0,1.0,labeled
Conjure Dreams,Maceo Plex,Conjure Infinity,gamma,2020,1.0,1.0,1.0,labeled
Kore,Dusty Kid,Anatome EP Vol.1,gamma,2020,1.0,1.0,1.0,labeled
Solitary Daze,Maceo Plex,Solitary Daze,gamma,2020,1.0,1.0,1.0,labeled
Run Baby Run,Paul Ritch,Run Baby Run,gamma,2020,1.0,1.0,1.0,labeled
HyperParadise - Flume Remix,Hermitude,Parallel Paradise,gamma,2020,1.0,1.0,1.0,labeled
Sleepless - Stephan Bodzin Remix,Pan-Pot,The Other Remixes,gamma,2020,1.0,1.0,1.0,labeled
Boost,Marco Faraone,Climax,gamma,2020,1.0,1.0,1.0,labeled
No Money,Galantis,The Aviary,gamma,2020,1.0,1.0,1.0,labeled
The Antidote,Stupeflip,Stup Virus,gamma,2020,1.0,1.0,1.0,labeled
Purple Noise,Boris Brejcha,Feuerfalter Special Edition,gamma,2020,1.0,1.0,1.0,labeled
My Love,Route 94,My Love,gamma,2020,1.0,1.0,1.0,labeled
Stop,Justice,Woman,gamma,2020,1.0,1.0,1.0,labeled
Changes,2Pac,The Best of 2Pac,gamma,2020,1.0,1.0,1.0,labeled
Get Get Down - Radio Edit,Paul Johnson,Get Get Down,gamma,2020,1.0,1.0,1.0,labeled
Lannister,DNGLS,Lukarne,gamma,2020,1.0,1.0,1.0,labeled
Solar Detroit,Maceo Plex,Solar Sampler,gamma,2020,1.0,1.0,1.0,labeled
"Me, Myself & You",Dam Swindle,Boxed Out,gamma,2020,1.0,1.0,1.0,labeled
Snakes,Sikdope,Snakes,gamma,2020,1.0,1.0,1.0,labeled
Blah Blah Blah,Armin van Buuren,Blah Blah Blah,gamma,2020,1.0,1.0,1.0,labeled
Raw Cuts #3,Motor City Drum Ensemble,"Raw Cuts, Vol.1",gamma,2020,1.0,1.0,1.0,labeled
Light It Up (Remix) [feat. Nyla & Fuse ODG],Major Lazer,Light It Up (Remix) [feat. Nyla & Fuse ODG],gamma,2020,1.0,1.0,1.0,labeled
Related Sources - Original Mix,Shlomi Aber,XY Play,gamma,2020,1.0,1.0,1.0,labeled
Free Tibet - Vini Vici Remix,Hilight Tribe,Free Tibet (Vini Vici Remix),gamma,2020,1.0,1.0,1.0,labeled
