name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Learnin' The Blues,Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,alpha,2020,1.0,1.0,1.0,labeled
En Annan Typ Av Disco,Detektivbyrån,Wermland,alpha,2020,1.0,1.0,1.0,labeled
Les métamorphoses du vide,Chapelier Fou,613,alpha,2020,1.0,1.0,1.0,labeled
Pangea,Professor Kliq,"The Scientific Method, Vol 2",alpha,2020,1.0,1.0,1.0,labeled
Petite Fleur,The Hot Sardines,Wake Up In Paris,alpha,2020,1.0,1.0,1.0,labeled
La fille garette,Les 100 Fausses Notes,Au clair de la muse,alpha,2020,1.0,1.0,1.0,labeled
24,Lana Del Rey,Honeymoon,alpha,2020,1.0,1.0,1.0,labeled
Riptide,Vance Joy,Dream Your Life Away (Special Edition),alpha,2020,1.0,1.0,1.0,labeled
Marble Machine,Wintergatan,Marble Machine,alpha,2020,1.0,1.0,1.0,labeled
Let's Call The Whole Thing Off,Ella Fitzgerald,Ella And Louis Again,alpha,2020,1.0,1.0,1.0,labeled
Sommarfågel - Bassnectar Remix,Bassnectar,Into the Sun,alpha,2020,1.0,1.0,1.0,labeled
My Oh My,Leonard Cohen,Popular Problems,alpha,2020,1.0,1.0,1.0,labeled
Salam Aleykoum,Salut C'est Cool,Sur le thème des grandes découvertes,alpha,2020,1.0,1.0,1.0,labeled
Hands Off That Man,The Hot Sardines,Sardine 3: Frolicking At the Playground,alpha,2020,1.0,1.0,1.0,labeled
Riders,In Uchronia,Iron Squid I Original Soundtrack,alpha,2020,1.0,1.0,1.0,labeled
A petit feu,Aldebert,Les paradis disponibles,alpha,2020,1.0,1.0,1.0,labeled
St James Infirmary,Hugh Laurie,Let Them Talk,alpha,2020,1.0,1.0,1.0,labeled
Red Dust,In Uchronia,Iron Squid I Original Soundtrack,alpha,2020,1.0,1.0,1.0,labeled
The Great Escape,Woodkid,The Golden Age,alpha,2020,1.0,1.0,1.0,labeled
Slow,Leonard Cohen,Popular Problems,alpha,2020,1.0,1.0,1.0,labeled
Rassurer Finkielkraut,Tryo,Vent debout,alpha,2020,1.0,1.0,1.0,labeled
Le p'tit bonheur,Various Artists,Duos Félix,alpha,2020,1.0,1.0,1.0,labeled
When I Get Low I Get High,The Hot Sardines,When I Get Low I Get High,alpha,2020,1.0,1.0,1.0,labeled
Le petit bonheur,Felix Leclerc,"Moi, mes chansons",alpha,2020,1.0,1.0,1.0,labeled
Sommarfågel,Wintergatan,Sommarfågel,alpha,2020,1.0,1.0,1.0,labeled
Something Good,alt-J,An Awesome Wave,alpha,2020,1.0,1.0,1.0,labeled
Running Wild,The Hot Sardines,French Fries & Champagne,alpha,2020,1.0,1.0,1.0,labeled
Fly Me To The Moon (In Other Words),Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,alpha,2020,1.0,1.0,1.0,labeled
Starmachine2000,Wintergatan,Wintergatan,alpha,2020,1.0,1.0,1.0,labeled
No Love Dying,Gregory Porter,Liquid Spirit,alpha,2020,1.0,1.0,1.0,labeled
Till I Collapse,Eminem,The Eminem Show,alpha,2020,1.0,1.0,1.0,labeled
La foule,Bernard Adamus,Brun,alpha,2020,1.0,1.0,1.0,labeled
On Hold,The xx,I See You,alpha,2020,1.0,1.0,1.0,labeled
VIEUX FRERES,Fauve,VIEUX FRÈRES - Partie 1,alpha,2020,1.0,1.0,1.0,labeled
I Love Paris,Ella Fitzgerald,The Complete Original Song Books,alpha,2020,1.0,1.0,1.0,labeled
The Calling,In Uchronia,Iron Squid II Original Soundtrack,alpha,2020,1.0,1.0,1.0,labeled
Begin The Beguine,Ella Fitzgerald,The Complete Original Song Books,alpha,2020,1.0,1.0,1.0,labeled
Polish Lullaby,Chapelier Fou,Deltas,alpha,2020,1.0,1.0,1.0,labeled
Little Talks,Of Monsters and Men,My Head Is An Animal,alpha,2020,1.0,1.0,1.0,labeled
Om Du Möter Varg,Detektivbyrån,Wermland,alpha,2020,1.0,1.0,1.0,labeled
Without Me,Eminem,The Eminem Show,alpha,2020,1.0,1.0,1.0,labeled
avf,Stromae,racine carrée,alpha,2020,1.0,1.0,1.0,labeled
The Rocket,Wintergatan,Wintergatan,alpha,2020,1.0,1.0,1.0,labeled
Nevermind,Leonard Cohen,Popular Problems,alpha,2020,1.0,1.0,1.0,labeled
Anthem,Emancipator,Soon It Will Be Cold Enough,alpha,2020,1.0,1.0,1.0,labeled
Le temps qui reste,Aldebert,Les meilleurs amis,alpha,2020,1.0,1.0,1.0,labeled
Run Boy Run,Woodkid,The Golden Age,alpha,2020,1.0,1.0,1.0,labeled
Nattöppet,Detektivbyrån,Hemvägen,alpha,2020,1.0,1.0,1.0,labeled
Objectif terre,Ridan,L'Ange De Mon Démon,alpha,2020,1.0,1.0,1.0,labeled
Gramercy Sunset,The Hot Sardines,French Fries & Champagne,alpha,2020,1.0,1.0,1.0,labeled
Main Titles - Fantastic Beasts and Where to Find Them Theme,James Newton Howard,Fantastic Beasts and Where to Find Them (Original Motion Picture Soundtrack) [Deluxe Edition],alpha,2020,1.0,1.0,1.0,labeled
L'agriculteur,Ridan,Le Rêve Ou La Vie,alpha,2020,1.0,1.0,1.0,labeled
Biking Is Better,Wintergatan,Wintergatan,alpha,2020,1.0,1.0,1.0,labeled
Miz Elizabeth's Fishnets,The Hot Sardines,Sardine 3: Frolicking At the Playground,alpha,2020,1.0,1.0,1.0,labeled
I See Fire,Ed Sheeran,x (Deluxe Edition),alpha,2020,1.0,1.0,1.0,labeled
Religion,Lana Del Rey,Honeymoon,alpha,2020,1.0,1.0,1.0,labeled
Brennisteinn,Sigur Rós,Kveikur,alpha,2020,1.0,1.0,1.0,labeled
Tiembla La Tierra,Cirque du Soleil,Luzia,alpha,2020,1.0,1.0,1.0,labeled
Paradis,Orelsan,La fête est finie,alpha,2020,1.0,1.0,1.0,labeled
Meet Me at the Bottom of the Bottle,The Hot Sardines,Shanghai'd,alpha,2020,1.0,1.0,1.0,labeled
Let's Go,The Hot Sardines,Sardine 3: Frolicking At the Playground,alpha,2020,1.0,1.0,1.0,labeled
Sac d'école,Les sœurs Boulay,Le poids des confettis,alpha,2020,1.0,1.0,1.0,labeled
"La vie d'écolier (with Ours, Ben Ricour, Ben Mazué & Didier Wampas)",Aldebert,Enfantillages 2,alpha,2020,1.0,1.0,1.0,labeled
Diga Diga Doo,Big Bad Voodoo Daddy,Rattle Them Bones (Deluxe Edition),alpha,2020,1.0,1.0,1.0,labeled
La Fille Aux Cheveux Roux (Weed Smoker’s Dream),The Hot Sardines,French Fries & Champagne,alpha,2020,1.0,1.0,1.0,labeled
Du gros son (with Tactil Box),Aldebert,Enfantillages 2,alpha,2020,1.0,1.0,1.0,labeled
Honeymoon,Lana Del Rey,Honeymoon,alpha,2020,1.0,1.0,1.0,labeled
Lyckans Undulat,Detektivbyrån,E18 Album,alpha,2020,1.0,1.0,1.0,labeled
Anything Goes,Ella Fitzgerald,The Complete Original Song Books,alpha,2020,1.0,1.0,1.0,labeled
Zazou (Sweet Sue),The Hot Sardines,Wake Up In Paris,alpha,2020,1.0,1.0,1.0,labeled
Some of These Days,The Hot Sardines,Shanghai'd,alpha,2020,1.0,1.0,1.0,labeled
Shape of You,Ed Sheeran,Shape of You,alpha,2020,1.0,1.0,1.0,labeled
Conquest Of Spaces,Woodkid,The Golden Age,alpha,2020,1.0,1.0,1.0,labeled
L-O-V-E,Gregory Porter,"Nat ""King"" Cole & Me (Deluxe)",alpha,2020,1.0,1.0,1.0,labeled
You Want It Darker,Leonard Cohen,You Want It Darker,alpha,2020,1.0,1.0,1.0,labeled
Still In The Mood,Big Bad Voodoo Daddy,Rattle Them Bones (Deluxe Edition),alpha,2020,1.0,1.0,1.0,labeled
String Reprise / Treaty,Leonard Cohen,You Want It Darker,alpha,2020,1.0,1.0,1.0,labeled
Aurora Borealis,In Uchronia,Iron Squid I Original Soundtrack,alpha,2020,1.0,1.0,1.0,labeled
Les saintes,Amélie-Les-Crayons,Jusqu'à la mer,alpha,2020,1.0,1.0,1.0,labeled
Freed from Sanity,In Uchronia,Iron Squid II Original Soundtrack,alpha,2020,1.0,1.0,1.0,labeled
Honky Tonk Of Wermland,Detektivbyrån,Wermland,alpha,2020,1.0,1.0,1.0,labeled
Married Life,Michael Giacchino,Up (Original Motion Picture Soundtrack),alpha,2020,1.0,1.0,1.0,labeled
REQUIN-TIGRE,Fauve,VIEUX FRÈRES - Partie 1,alpha,2020,1.0,1.0,1.0,labeled
L'Auto-Stop - Olympia 1973,Maxime Le Forestier,Mon Frère,alpha,2020,1.0,1.0,1.0,labeled
Vleurgat,Oskar Schuster,Sneeuwland,alpha,2020,1.0,1.0,1.0,labeled
Devouring Hazard,In Uchronia,Iron Squid II Original Soundtrack,alpha,2020,1.0,1.0,1.0,labeled
Hemvägen,Detektivbyrån,E18 Album,alpha,2020,1.0,1.0,1.0,labeled
Dansbanan,Detektivbyrån,E18 Album,alpha,2020,1.0,1.0,1.0,labeled
E18,Detektivbyrån,Hemvägen,alpha,2020,1.0,1.0,1.0,labeled
Treaty,Leonard Cohen,You Want It Darker,alpha,2020,1.0,1.0,1.0,labeled
La Seine - Extrait de la bande originale un monstre à Paris,-M-,BOF Un Monstre A Paris (Limited Edition),alpha,2020,1.0,1.0,1.0,labeled
It Only Took A Kiss,Big Bad Voodoo Daddy,Rattle Them Bones (Deluxe Edition),alpha,2020,1.0,1.0,1.0,labeled
Lulu's Back in Town,The Hot Sardines,Shanghai'd,alpha,2020,1.0,1.0,1.0,labeled
