name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Oceans (feat. Nylo),Emmit Fenn,Prologue,epsilon,2021,1.0,1.0,1.0,labeled
We Are One,Sarazar,We Are One,epsilon,2021,1.0,1.0,1.0,labeled
Particles - Piano Version,Nothing But Thieves,Broken Machine (Deluxe),epsilon,2021,1.0,1.0,1.0,labeled
Apocalypse (EFL111),Gareth Emery,Electric For Life Episode 111,epsilon,2021,1.0,1.0,1.0,labeled
Brand,Ghasper,Brand,epsilon,2021,1.0,1.0,1.0,labeled
Flesh without Blood,Grimes,Art Angels,epsilon,2021,1.0,1.0,1.0,labeled
Rock U,Various Artists,"Ibiza G, 2015",epsilon,2021,1.0,1.0,1.0,labeled
Strobe - Radio Edit,deadmau5,Strobe,epsilon,2021,1.0,1.0,1.0,labeled
Pandora's Cluster,Duumu,Pandora's Cluster,epsilon,2021,1.0,1.0,1.0,labeled
Phoenix,Morgan Nagoya,Phoenix,epsilon,2021,1.0,1.0,1.0,labeled
Kill V. Maim,Grimes,Art Angels,epsilon,2021,1.0,1.0,1.0,labeled
Le départ,L'Impératrice,Odyssée - EP,epsilon,2021,1.0,1.0,1.0,labeled
The Future - Taska Black Remix,San Holo,The Future (Remixes),epsilon,2021,1.0,1.0,1.0,labeled
The Middle,Zedd,The Middle,epsilon,2021,1.0,1.0,1.0,labeled
Fallin' (feat. Jacqueline Harvey),Tusk,Fallin' (feat. Jacqueline Harvey),epsilon,2021,1.0,1.0,1.0,labeled
Had Some Drinks,Two Feet,Had Some Drinks,epsilon,2021,1.0,1.0,1.0,labeled
I Can See My Eyes in Your Tears,Pandrezz,Out of the Cave,epsilon,2021,1.0,1.0,1.0,labeled
Good Vibes - Radio Edit,PLS&TY,Good Vibes (Radio Edit),epsilon,2021,1.0,1.0,1.0,labeled
GENESIS,GENES,GENESIS,epsilon,2021,1.0,1.0,1.0,labeled
Somebody - Radio Edit,SOVI,Somebody,epsilon,2021,1.0,1.0,1.0,labeled
La marche des hommes,Soul & Sister,La marche des hommes - Single,epsilon,2021,1.0,1.0,1.0,labeled
Promises,Pandrezz,Ermit,epsilon,2021,1.0,1.0,1.0,labeled
Memories,Hikari,Memories,epsilon,2021,1.0,1.0,1.0,labeled
Interlude,Sexion d'Assaut,L'Écrasement De Tête,epsilon,2021,1.0,1.0,1.0,labeled
Chupee,Cocoon,My Friends All Died In A Plane Crash,epsilon,2021,1.0,1.0,1.0,labeled
Cooler Than Me - Single Mix,Mike Posner,31 Minutes to Takeoff,epsilon,2021,1.0,1.0,1.0,labeled
Mountain Lion Ft. Julie Elody,MKJ,Mountain Lion Ft. Julie Elody,epsilon,2021,1.0,1.0,1.0,labeled
Animal City,Unicorn Kid,Wee Monsters,epsilon,2021,1.0,1.0,1.0,labeled
Promesse - Short Version,Joachim Pastor,Promesse (Short Version),epsilon,2021,1.0,1.0,1.0,labeled
Falling,Subtact,Falling,epsilon,2021,1.0,1.0,1.0,labeled
Vay,Dj Leska,Vay,epsilon,2021,1.0,1.0,1.0,labeled
Square,Creaky Jackals,Black & White,epsilon,2021,1.0,1.0,1.0,labeled
Between Us (Direct Remix),Elènne,Between Us,epsilon,2021,1.0,1.0,1.0,labeled
The Way I Are,Timbaland,Shock Value Deluxe Version (International Version),epsilon,2021,1.0,1.0,1.0,labeled
A Land of War and Poetry (feat. Jeremy Soule),Brad Derrick,The Elder Scrolls Online: Morrowind (Original Game Soundtrack),epsilon,2021,1.0,1.0,1.0,labeled
White Label (Is This Love),Still Young,White Label (Is This Love),epsilon,2021,1.0,1.0,1.0,labeled
Agitations tropicales,L'Impératrice,Odyssée - EP,epsilon,2021,1.0,1.0,1.0,labeled
Rising Sun,GRAViiTY,Graviity,epsilon,2021,1.0,1.0,1.0,labeled
Out of My Head (feat. Trey Songz),Lupe Fiasco,Lasers,epsilon,2021,1.0,1.0,1.0,labeled
Sundays,Various Artists,Chillhop Essentials Summer 2018,epsilon,2021,1.0,1.0,1.0,labeled
Sweet Dreams,Chunda Munki,Interference,epsilon,2021,1.0,1.0,1.0,labeled
La Puissance,Rohff,Au-Delà De Mes Limites,epsilon,2021,1.0,1.0,1.0,labeled
Watch It Burn,Honka,Watch It Burn,epsilon,2021,1.0,1.0,1.0,labeled
Unforgettable,French Montana,Jungle Rules,epsilon,2021,1.0,1.0,1.0,labeled
Instant Gratification - Nu Aspect Remix,Miranda Glory,Instant Gratification (Remixes),epsilon,2021,1.0,1.0,1.0,labeled
Get Busy,Sean Paul,Dutty Rock,epsilon,2021,1.0,1.0,1.0,labeled
Pon de Replay,Ed Marquis,Pon de Replay,epsilon,2021,1.0,1.0,1.0,labeled
Waterfalls,Killigrew,Arcana,epsilon,2021,1.0,1.0,1.0,labeled
Strippers,Wizard,Steady Stackin,epsilon,2021,1.0,1.0,1.0,labeled
Magic,Coldplay,Ghost Stories,epsilon,2021,1.0,1.0,1.0,labeled
Rap Game,Rohff,Le Code De L'horreur,epsilon,2021,1.0,1.0,1.0,labeled
Butterflies,Rameses B,Butterflies,epsilon,2021,1.0,1.0,1.0,labeled
Little Lies,Gold/Shade,Halcyon,epsilon,2021,1.0,1.0,1.0,labeled
