name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Romeo And Juliet,Dire Straits,Making Movies (Remastered),delta,2020,1.0,1.0,1.0,labeled
Babylon,Aphrodite's Child,6 6 6,delta,2020,1.0,1.0,1.0,labeled
Hotel Room - 2004 Remaster,Edgar Broughton Band,Edgar Broughton Band,delta,2020,1.0,1.0,1.0,labeled
My Least Favorite Life - From The HBO Series True Detective,Lera Lynn,My Least Favorite Life (From The HBO Series True Detective),delta,2020,1.0,1.0,1.0,labeled
Phantom's Theme (Beauty And The Beast),Various Artists,Phantom Of The Paradise,delta,2020,1.0,1.0,1.0,labeled
Dumb,Nirvana,MTV Unplugged In New York,delta,2020,1.0,1.0,1.0,labeled
Pili Pili Sur Un Croissant Au Beurre,Gaël Faye,Pili Pili Sur Un Croissant Au Beurre,delta,2020,1.0,1.0,1.0,labeled
Decency,Balthazar,Thin Walls,delta,2020,1.0,1.0,1.0,labeled
"Loud, Loud, Loud",Aphrodite's Child,6 6 6,delta,2020,1.0,1.0,1.0,labeled
Rain And Tears,Aphrodite's Child,Best Of,delta,2020,1.0,1.0,1.0,labeled
A-France,Gaël Faye,Pili Pili Sur Un Croissant Au Beurre,delta,2020,1.0,1.0,1.0,labeled
Basique,Orelsan,La fête est finie,delta,2020,1.0,1.0,1.0,labeled
A Church In Ruins - From The HBO Series True Detective,Lera Lynn,A Church In Ruins (From The HBO Series True Detective),delta,2020,1.0,1.0,1.0,labeled
It Only Takes One Shot - From The HBO Series True Detective,Various Artists,True Detective (Music From The HBO Series),delta,2020,1.0,1.0,1.0,labeled
The Logical Song - Remastered 2010,Supertramp,Breakfast In America (Deluxe Edition),delta,2020,1.0,1.0,1.0,labeled
Bang Bang (My Baby Shot Me Down),Nancy Sinatra,How Does That Grab You?,delta,2020,1.0,1.0,1.0,labeled
The Only Thing Worth Fighting For - From The HBO Series True Detective,Lera Lynn,The Only Thing Worth Fighting For (From The HBO Series True Detective),delta,2020,1.0,1.0,1.0,labeled
Pennyroyal Tea,Nirvana,MTV Unplugged In New York,delta,2020,1.0,1.0,1.0,labeled
Paint It Black,The Rolling Stones,Singles 1965-1967,delta,2020,1.0,1.0,1.0,labeled
Little Lion Man,Mumford & Sons,Sigh No More,delta,2020,1.0,1.0,1.0,labeled
Suzanne,Leonard Cohen,Songs Of Leonard Cohen,delta,2020,1.0,1.0,1.0,labeled
