name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Petit bonhomme,Les Wriggles,Tant Pis ! Tant Mieux !,alpha,2019,1.0,1.0,1.0,labeled
Madame La République - Original Version,Ridan,Madame La République,alpha,2019,1.0,1.0,1.0,labeled
It's Only A Paper Moon,Ella Fitzgerald,Ella & Friends,alpha,2019,1.0,1.0,1.0,labeled
Howl's moving castle,Giovanni Mirabassi,Prima O Poi,alpha,2019,1.0,1.0,1.0,labeled
The Nosebleed Section,Hilltop Hoods,The Nosebleed Section,alpha,2019,1.0,1.0,1.0,labeled
Polish Lullaby,Chapelier Fou,Deltas,alpha,2019,1.0,1.0,1.0,labeled
I Can Talk,Various Artists,Hector's Mix Tape,alpha,2019,1.0,1.0,1.0,labeled
Timing,Kevin Johansen,Sur o No Sur,alpha,2019,1.0,1.0,1.0,labeled
Stereo,Elephanz,Time for a Change (Deluxe Edition),alpha,2019,1.0,1.0,1.0,labeled
Unity,TheFatRat,Unity,alpha,2019,1.0,1.0,1.0,labeled
Jésus est le chemin,Chants de l'Emmanuel,"Best of louange, vol. 2 (Il est vivant!)",alpha,2019,1.0,1.0,1.0,labeled
La pleureuse,Debout Sur Le Zinc,Eldorado(s),alpha,2019,1.0,1.0,1.0,labeled
La cerise,Matmatah,Antaology,alpha,2019,1.0,1.0,1.0,labeled
Grand Artica,Chapelier Fou,Deltas,alpha,2019,1.0,1.0,1.0,labeled
Les gens qui doutent,Vincent Delerm,Favourite Songs,alpha,2019,1.0,1.0,1.0,labeled
On n'est pas fatigués,Amélie-Les-Crayons,Jusqu'à la mer,alpha,2019,1.0,1.0,1.0,labeled
Comment ne pas te louer,Chants de l'Emmanuel,"Best of louange, vol. 2 (Il est vivant!)",alpha,2019,1.0,1.0,1.0,labeled
La Foule,Édith Piaf,Edith Piaf - The Best Of,alpha,2019,1.0,1.0,1.0,labeled
Morning Love,Carlos Cipa,Cipa: The Monarch and the Viceroy,alpha,2019,1.0,1.0,1.0,labeled
