name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Schengen - Live 2006,Raphaël,Résistance À La Nuit,delta,2019,1.0,1.0,1.0,labeled
"Please - Live at Longwood Gardens, Kennet Square, PA, August 28, 2013",Edward Sharpe & The Magnetic Zeros,Live In No Particular Order: 2009 - 2014,delta,2019,1.0,1.0,1.0,labeled
The Labyrinth Song,Asaf Avidan,Gold Shadow,delta,2019,1.0,1.0,1.0,labeled
Au pays des merveilles de Juliet,Vincent Delerm,Favourite Songs,delta,2019,1.0,1.0,1.0,labeled
Higher,Kwamie Liv,Higher,delta,2019,1.0,1.0,1.0,labeled
Crucify Your Mind,Rodríguez,Cold Fact,delta,2019,1.0,1.0,1.0,labeled
Et dans 150 ans,Raphaël,caravane,delta,2019,1.0,1.0,1.0,labeled
Hot Coals,Edward Sharpe & The Magnetic Zeros,PersonA,delta,2019,1.0,1.0,1.0,labeled
Les gens qui doutent,Anne Sylvestre,J'ai de bonnes nouvelles (1977-1978),delta,2019,1.0,1.0,1.0,labeled
Slow,Leonard Cohen,Popular Problems,delta,2019,1.0,1.0,1.0,labeled
The Wayward Wind,Neil Young,Old Ways,delta,2019,1.0,1.0,1.0,labeled
Gloria: In Excelsis Deo,Patti Smith,Horses (Legacy Edition),delta,2019,1.0,1.0,1.0,labeled
Sandrevan Lullaby-Lifestyles,Rodríguez,Coming From Reality,delta,2019,1.0,1.0,1.0,labeled
Only Good For Conversation,Rodríguez,Cold Fact,delta,2019,1.0,1.0,1.0,labeled
Society,Various Artists,Music For The Motion Picture Into The Wild,delta,2019,1.0,1.0,1.0,labeled
Because the Night,Patti Smith,Outside Society,delta,2019,1.0,1.0,1.0,labeled
"La Manic - Live at Québec City Show, 2012",Leonard Cohen,Can't Forget: A Souvenir of the Grand Tour,delta,2019,1.0,1.0,1.0,labeled
It Only Takes One Shot - From The HBO Series True Detective,Various Artists,True Detective (Music From The HBO Series),delta,2019,1.0,1.0,1.0,labeled
Can You Believe,Them,In Reality,delta,2019,1.0,1.0,1.0,labeled
This Road Is Long,Tom Rosenthal,The Pleasant Trees (Volume 2),delta,2019,1.0,1.0,1.0,labeled
Climb Up On My Music,Rodríguez,Coming From Reality,delta,2019,1.0,1.0,1.0,labeled
A Church In Ruins - From The HBO Series True Detective,Various Artists,True Detective (Music From The HBO Series),delta,2019,1.0,1.0,1.0,labeled
Setting Scalpels Free,Asaf Avidan,Different Pulses (Edition Deluxe),delta,2019,1.0,1.0,1.0,labeled
Smells Like Teen Spirit - Radio Edit,Patti Smith,Outside Society,delta,2019,1.0,1.0,1.0,labeled
Les gens qui doutent,Vincent Delerm,Favourite Songs,delta,2019,1.0,1.0,1.0,labeled
Amnesty,Peter Sarstedt,ON SONG,delta,2019,1.0,1.0,1.0,labeled
