name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Cinq heures du matin,Jazzy Bazz,Nuit,gamma,2024,1.0,1.0,1.0,labeled
Au fond d'ma tête,PLK,Enna,gamma,2024,1.0,1.0,1.0,labeled
Benji,Népal,Benji,gamma,2024,1.0,1.0,1.0,labeled
Siliconé,Niska,Mr Sal,gamma,2024,1.0,1.0,1.0,labeled
Le plan,S.Pri Noir,Etat d'esprit,gamma,2024,1.0,1.0,1.0,labeled
I Get to Love You,Ruelle,I Get to Love You,gamma,2024,1.0,1.0,1.0,labeled
Ridin',Booba,Trône,gamma,2024,1.0,1.0,1.0,labeled
Rosyln,Various Artists,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),gamma,2024,1.0,1.0,1.0,labeled
Need Your Love,Curtis Harding,Face Your Fear,gamma,2024,1.0,1.0,1.0,labeled
Lost Without You,Freya Ridings,Freya Ridings,gamma,2024,1.0,1.0,1.0,labeled
Sakura,Scylla,Pleine Lune 2,gamma,2024,1.0,1.0,1.0,labeled
Jamais,Mister V,MVP,gamma,2024,1.0,1.0,1.0,labeled
Heal,Tom Odell,Long Way Down (Deluxe),gamma,2024,1.0,1.0,1.0,labeled
Scarface,Booba,Autopsie 0,gamma,2024,1.0,1.0,1.0,labeled
Chanson d'amour,Scylla,Chanson d'amour,gamma,2024,1.0,1.0,1.0,labeled
Lets Celebrate,The Other Guys,Lets Celebrate,gamma,2024,1.0,1.0,1.0,labeled
À la fête,UZI,À la fête,gamma,2024,1.0,1.0,1.0,labeled
The Essence,Giggs,Wamp 2 Dem,gamma,2024,1.0,1.0,1.0,labeled
JAUNÉ,Booba,JAUNÉ,gamma,2024,1.0,1.0,1.0,labeled
Clope sur la lune,Scylla,Pleine Lune,gamma,2024,1.0,1.0,1.0,labeled
Le temps,MHD,19,gamma,2024,1.0,1.0,1.0,labeled
Street,Maes,Les derniers salopards,gamma,2024,1.0,1.0,1.0,labeled
Clandestina - Cocaina Remix,FILV,Clandestina (Cocaina Remix),gamma,2024,1.0,1.0,1.0,labeled
Elévation,Vladimir Cauchemar,Elévation,gamma,2024,1.0,1.0,1.0,labeled
Smile (feat. SCH),Lefa,FAMOUS,gamma,2024,1.0,1.0,1.0,labeled
Éternité,Jazzy Bazz,Nuit,gamma,2024,1.0,1.0,1.0,labeled
Ken Kaneki,Nekfeu,Les étoiles vagabondes : expansion,gamma,2024,1.0,1.0,1.0,labeled
CLS,Kekra,Vréalité,gamma,2024,1.0,1.0,1.0,labeled
you were good to me,Jeremy Zucker,brent,gamma,2024,1.0,1.0,1.0,labeled
Journal de bord,Roshi,W.A.R,gamma,2024,1.0,1.0,1.0,labeled
3 en 1,PLK,Enna,gamma,2024,1.0,1.0,1.0,labeled
Enfant compliqué,Larry,Cité blanche,gamma,2024,1.0,1.0,1.0,labeled
HOLIDAY,Lil Nas X,HOLIDAY,gamma,2024,1.0,1.0,1.0,labeled
Side To Side,Ariana Grande,Dangerous Woman,gamma,2024,1.0,1.0,1.0,labeled
Deux frères,PNL,Deux frères,gamma,2024,1.0,1.0,1.0,labeled
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),gamma,2024,1.0,1.0,1.0,labeled
Ain't No Sunshine,Bill Withers,Just As I Am,gamma,2024,1.0,1.0,1.0,labeled
Fascinant,Jazzy Bazz,Fascinant,gamma,2024,1.0,1.0,1.0,labeled
Fuck mes rêves (feat. N.O.S),S-Pion,Sourou,gamma,2024,1.0,1.0,1.0,labeled
Arc-en-ciel,Booba,Arc-en-ciel,gamma,2024,1.0,1.0,1.0,labeled
Say Something,A Great Big World,Is There Anybody Out There?,gamma,2024,1.0,1.0,1.0,labeled
Hallelujah,Jeff Buckley,Grace,gamma,2024,1.0,1.0,1.0,labeled
Train de vie (feat. PLK),Leto,Virus: avant l'album,gamma,2024,1.0,1.0,1.0,labeled
Eurotrap,Vald,Agartha,gamma,2024,1.0,1.0,1.0,labeled
Blanche,Maes,Les derniers salopards,gamma,2024,1.0,1.0,1.0,labeled
Waves,Dean Lewis,A Place We Knew,gamma,2024,1.0,1.0,1.0,labeled
J'fais mes affaires,Djadja & Dinaz,On s'promet,gamma,2024,1.0,1.0,1.0,labeled
Paris Is a Bitch,Biga*Ranx,Nightbird,gamma,2024,1.0,1.0,1.0,labeled
Chat noir,DTF,La hass avant le bonheur,gamma,2024,1.0,1.0,1.0,labeled
Hawaï,Gambino,Galaxia,gamma,2024,1.0,1.0,1.0,labeled
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",gamma,2024,1.0,1.0,1.0,labeled
Bande organisée,Kofs,Bande organisée,gamma,2024,1.0,1.0,1.0,labeled
All My Tears,Ane Brun,Rarities,gamma,2024,1.0,1.0,1.0,labeled
So Maness,Soso Maness,Mistral,gamma,2024,1.0,1.0,1.0,labeled
Pirelli,Mister V,MVP,gamma,2024,1.0,1.0,1.0,labeled
The Night We Met,Lord Huron,Strange Trails,gamma,2024,1.0,1.0,1.0,labeled
Autotune,Damso,Batterie faible,gamma,2024,1.0,1.0,1.0,labeled
MD (feat. Niska),4Keus,Vie d'artiste,gamma,2024,1.0,1.0,1.0,labeled
Moulaga,Heuss L'enfoiré,Moulaga,gamma,2024,1.0,1.0,1.0,labeled
ocean eyes,Billie Eilish,dont smile at me,gamma,2024,1.0,1.0,1.0,labeled
Djomb - Bien ou quoi,Bosh,Synkinisi,gamma,2024,1.0,1.0,1.0,labeled
I Found,Amber Run,5AM (Expanded Edition),gamma,2024,1.0,1.0,1.0,labeled
Rien d'spécial,Népal,2016 - 2018,gamma,2024,1.0,1.0,1.0,labeled
Putain de salaire,Kekra,"Freebase, Vol. 04",gamma,2024,1.0,1.0,1.0,labeled
ROXANNE,Arizona Zervas,ROXANNE,gamma,2024,1.0,1.0,1.0,labeled
lovely (with Khalid),Billie Eilish,lovely (with Khalid),gamma,2024,1.0,1.0,1.0,labeled
everything i wanted,Billie Eilish,everything i wanted,gamma,2024,1.0,1.0,1.0,labeled
Je vous déteste tous,Lorenzo,Sex In The City,gamma,2024,1.0,1.0,1.0,labeled
Au DD,PNL,Deux frères,gamma,2024,1.0,1.0,1.0,labeled
Macaroni (feat. Ninho),Leto,100 visages,gamma,2024,1.0,1.0,1.0,labeled
No Church In The Wild,JAY-Z,Watch The Throne (Deluxe),gamma,2024,1.0,1.0,1.0,labeled
SENTIMENTAL,Damso,QALF infinity,gamma,2024,1.0,1.0,1.0,labeled
Angela,Hatik,Chaise pliante,gamma,2024,1.0,1.0,1.0,labeled
Waow (feat. Nekfeu),PLK,Polak,gamma,2024,1.0,1.0,1.0,labeled
J'suis QLF,PNL,Dans la légende,gamma,2024,1.0,1.0,1.0,labeled
Sur Paname,PNL,Le monde Chico,gamma,2024,1.0,1.0,1.0,labeled
Familiar Fire,Yodelice,Square Eyes,gamma,2024,1.0,1.0,1.0,labeled
Le message,Youssoupha,Sur les chemins du retour,gamma,2024,1.0,1.0,1.0,labeled
Suga Suga,Népal,2016 - 2018,gamma,2024,1.0,1.0,1.0,labeled
Jusqu'au dernier gramme,PNL,Dans la légende,gamma,2024,1.0,1.0,1.0,labeled
Distant,Maes,Les derniers salopards,gamma,2024,1.0,1.0,1.0,labeled
Sundance,Népal,Adios Bahamas,gamma,2024,1.0,1.0,1.0,labeled
Gisèle - Part 4,Luidji,Tristesse Business : Saison 1,gamma,2024,1.0,1.0,1.0,labeled
Le monde est à mes pieds,Scylla,Pleine Lune,gamma,2024,1.0,1.0,1.0,labeled
Jealous,Labrinth,Jealous - EP,gamma,2024,1.0,1.0,1.0,labeled
"Fire On Fire - From ""Watership Down""",Sam Smith,"Fire On Fire (From ""Watership Down"")",gamma,2024,1.0,1.0,1.0,labeled
Move in Silence,Various Artists,We Are Ten! The Birthday Presents,gamma,2024,1.0,1.0,1.0,labeled
HRTBRK #3,Kaza,HRTBRK #3,gamma,2024,1.0,1.0,1.0,labeled
Tu le C,Lorenzo,Rien à branler,gamma,2024,1.0,1.0,1.0,labeled
Joli bébé,Naza,Joli bébé,gamma,2024,1.0,1.0,1.0,labeled
Gang,Mister V,MVP,gamma,2024,1.0,1.0,1.0,labeled
Dybala,Maes,Les derniers salopards,gamma,2024,1.0,1.0,1.0,labeled
